epoch,train_loss,valid_loss,valid_mse,valid_psnr,valid_gfc,lr
1,0.0071349912935867905,0.0046932897441516255,0.0046932897441516255,23.349600369920264,0.9522443110016501,0.0001
2,0.004835377653315663,0.0044394679186616545,0.0044394679186616545,23.59963619347537,0.9535829948771531,0.0001
3,0.004593887073919177,0.004337539748069208,0.004337539748069208,23.701563418288167,0.9544882660458802,0.0001
4,0.004477607570588588,0.004282426216586191,0.004282426216586191,23.757324901405102,0.954757985415732,0.0001
5,0.004429103991948068,0.004288738649813043,0.004288738649813043,23.751737069413647,0.9547475716870302,0.0001
6,0.0043942764896899465,0.004332764373771894,0.004332764373771894,23.705711918834123,0.9548617210357812,0.0001
7,0.0043653828460723165,0.004245815872790138,0.004245815872790138,23.794393123809325,0.9548704840575054,0.0001
8,0.00435028661955148,0.004220053534302267,0.004220053534302267,23.818820348921374,0.9551398894589418,0.0001
9,0.004329596685059368,0.00424980914819345,0.00424980914819345,23.787179162912604,0.9551711856939231,0.0001
10,0.0043202239679172635,0.004204888716873944,0.004204888716873944,23.835051867306667,0.9552449291678751,0.0001
11,0.004303563731536269,0.00421453237082738,0.00421453237082738,23.82405156066936,0.9554172256949601,0.0001
12,0.004288749229349196,0.004171883485689284,0.004171883485689284,23.869051222002312,0.9553828668442501,0.0001
13,0.0042814060473814605,0.0041599259474522365,0.0041599259474522365,23.88480614764318,0.9554689891019444,0.0001
14,0.0042768869902938605,0.004170946248919721,0.004170946248919721,23.874541648525376,0.9556792537877514,0.0001
15,0.0042640086801722646,0.004183330076337336,0.004183330076337336,23.860812081072012,0.9555181822959026,0.0001
16,0.0042512151824310425,0.00414398312272065,0.00414398312272065,23.900718559373743,0.9555224468753596,0.0001
17,0.0042486586963757875,0.004179894876707891,0.004179894876707891,23.85755788504348,0.9555205607869822,0.0001
18,0.004242383579351008,0.0042341472907288435,0.0042341472907288435,23.804839627537707,0.9553842225651832,0.0001
19,0.004232681074179709,0.004144972255512787,0.004144972255512787,23.896421203253578,0.955818336480742,0.0001
20,0.004224890235066414,0.004119087806991805,0.004119087806991805,23.926500773600164,0.95563596676869,0.0001
21,0.004220108476653695,0.004147154541543809,0.004147154541543809,23.894588333838204,0.9557693836036002,0.0001
22,0.004210723747871816,0.004121411295168719,0.004121411295168719,23.92090886430391,0.9557838052701039,0.0001
23,0.004204787216335535,0.0041776575076921734,0.0041776575076921734,23.859503609604232,0.9555951379666663,0.0001
24,0.004201434496790171,0.0041083810942923755,0.0041083810942923755,23.93850505855655,0.9558459300144463,0.0001
25,0.004197748736292124,0.00409684856095986,0.00409684856095986,23.948870641025508,0.9557630879104517,0.0001
26,0.004193021012656391,0.004109213839041864,0.004109213839041864,23.934061463392293,0.9556561025084963,0.0001
27,0.00418907397063449,0.004105892945911474,0.004105892945911474,23.940665881522133,0.955847346099319,0.0001
28,0.004186784378252924,0.004107075934683916,0.004107075934683916,23.936717185737468,0.9556553842155797,0.0001
29,0.004177761866338551,0.004095544478007753,0.004095544478007753,23.951718564160274,0.9559020859420679,0.0001
30,0.00417740898411721,0.0041112400751537196,0.0041112400751537196,23.930617119293697,0.9558311598316119,0.0001
31,0.004173212308064103,0.004143983583932944,0.004143983583932944,23.894140202857976,0.9556132129802826,0.0001
32,0.00417116043958813,0.00407805730689578,0.00407805730689578,23.966778010925776,0.9556839709069319,0.0001
33,0.0041680938057601456,0.0040700478867811574,0.0040700478867811574,23.977950762123008,0.9559346885438178,0.0001
34,0.004160765937715769,0.004156379540788994,0.004156379540788994,23.880702023258742,0.9558888108107695,0.0001
35,0.004161940468847752,0.00411961143866039,0.00411961143866039,23.924660150803444,0.955888974438807,0.0001
36,0.004156321982853115,0.004086878672716724,0.004086878672716724,23.956625269014168,0.9558604503892789,0.0001
