epoch,train_loss,valid_loss,valid_mse,valid_psnr,valid_gfc,lr
1,0.005614749041758477,0.003138043033848902,0.003138043033848902,25.109036263266375,0.9632285757429281,0.0001
2,0.00300782968737185,0.0027125985420955595,0.0027125985420955595,25.749125997990035,0.9664429547680411,0.0001
3,0.002712196950428188,0.002521488461109578,0.002521488461109578,26.068752140045927,0.9682360800208559,0.0001
4,0.002571357232145965,0.002432053598017687,0.002432053598017687,26.22715312978781,0.9690617793684553,0.0001
5,0.0024868429464288055,0.0023944236799350875,0.0023944236799350875,26.2962737409271,0.9694581176065336,0.0001
6,0.002428051224909723,0.0023388202119749156,0.0023388202119749156,26.400337328819052,0.9698005064277891,0.0001
7,0.00239164146380499,0.002309374638779718,0.002309374638779718,26.45447011430634,0.970199711383528,0.0001
8,0.0023677074055187403,0.002318785752757055,0.002318785752757055,26.43523681293403,0.9701820813166867,0.0001
9,0.002346141473762691,0.0023232074610141525,0.0023232074610141525,26.43057988003378,0.9698478416272789,0.0001
10,0.002327080397307873,0.002279004320104838,0.002279004320104838,26.51324326479162,0.9703276912877514,0.0001
11,0.0023180932408198712,0.002268790367510241,0.002268790367510241,26.53108517208298,0.9706606656123119,0.0001
12,0.002304165496584028,0.0023491384942013367,0.0023491384942013367,26.38130396374193,0.9695587173389022,0.0001
13,0.0022937688171863558,0.0022699770289265615,0.0022699770289265615,26.530428294284313,0.9702494171015017,0.0001
14,0.0022856018465943636,0.0022319522330383206,0.0022319522330383206,26.60550897573525,0.9707500368926176,0.0001
15,0.0022748357099480927,0.002227070463293345,0.002227070463293345,26.613675992739296,0.9708043636789747,0.0001
16,0.0022669494500383736,0.0022195358716164994,0.0022195358716164994,26.62725006671441,0.9708578055071982,0.0001
17,0.002258682634308934,0.002225316094032898,0.002225316094032898,26.6176104103316,0.9708264971234996,0.0001
18,0.0022584573871456087,0.002200982381388023,0.002200982381388023,26.66484853691653,0.9709298291783424,0.0001
19,0.0022501466235145926,0.0022349859874066747,0.0022349859874066747,26.594699505051715,0.9708778429183231,0.0001
20,0.0022440629633143543,0.0022349796483328768,0.0022349796483328768,26.594354078451044,0.9707967042922974,0.0001
21,0.0022427968953736125,0.002198760666154847,0.002198760666154847,26.668963351190662,0.9711068507972037,0.0001
22,0.0022343749610707164,0.0022041929854602097,0.0022041929854602097,26.65783078882846,0.9710525388170959,0.0001
23,0.002234466786496341,0.0022011679088530744,0.0022011679088530744,26.662537216211156,0.9710078584920069,0.0001
24,0.002225370606314391,0.0022133000248414315,0.0022133000248414315,26.64007994202772,0.9707343741587013,0.0001
25,0.002223803328629583,0.0021956621722620763,0.0021956621722620763,26.674589959639327,0.9708726026449993,0.0001
26,0.002216609248239547,0.0022216827288317454,0.0022216827288317454,26.622795937604117,0.970820307351981,0.0001
27,0.002219392990227789,0.0021847581912045645,0.0021847581912045645,26.697085825242265,0.9710716438141598,0.0001
28,0.002211034342460334,0.002186242493231348,0.002186242493231348,26.69513621280164,0.9709482284108545,0.0001
29,0.002209354182425886,0.002194733269198258,0.002194733269198258,26.674526327337855,0.9710008057819051,0.0001
30,0.002208701144810766,0.0021822849914407846,0.0021822849914407846,26.70068434787427,0.9710604096673856,0.0001
31,0.0022063218427821993,0.0021755868816677078,0.0021755868816677078,26.713210060132035,0.9711413831467841,0.0001
32,0.0022018744008615613,0.002189820631597025,0.002189820631597025,26.6865118444653,0.9709681109258324,0.0001
33,0.002198191524948925,0.0021814503313997272,0.0021814503313997272,26.702290783661304,0.9710598682901662,0.0001
34,0.00219667166499421,0.002217734584015361,0.002217734584015361,26.629241845188588,0.9708380406829202,0.0001
35,0.002190820968383923,0.002172177266715106,0.002172177266715106,26.720354111395377,0.9711087699149065,0.0001
36,0.002189394604973495,0.0021765324247075587,0.0021765324247075587,26.714064653261584,0.9709646728388064,0.0001
37,0.002188524463772774,0.0021714854623624096,0.0021714854623624096,26.72160664132511,0.9711379872006216,0.0001
38,0.0021858545682393016,0.0021670156000567612,0.0021670156000567612,26.7308742746589,0.9711663020644218,0.0001
39,0.0021847207608632745,0.0021825269744049306,0.0021825269744049306,26.701157716977182,0.970950863163942,0.0001
40,0.002183509560581297,0.00220772585532017,0.00220772585532017,26.652243596888948,0.9705327062090491,0.0001
41,0.0021808085138909517,0.002164414717525149,0.002164414717525149,26.736195674607124,0.9711924787539585,0.0001
42,0.0021770169232971964,0.0023536972366392044,0.0023536972366392044,26.357410446278546,0.9706623003740978,0.0001
43,0.0021757502512075007,0.002188161533076767,0.002188161533076767,26.68812254815734,0.9708910747698158,0.0001
44,0.002172411860898137,0.0021544237506937736,0.0021544237506937736,26.756941926159016,0.971236952930499,0.0001
45,0.0021710673356428742,0.002166576231948462,0.002166576231948462,26.729812597957796,0.9712884065451896,0.0001
46,0.002170055560953915,0.002168527310476846,0.002168527310476846,26.727283274172486,0.9711442825141227,0.0001
47,0.0021670752190053465,0.0021575829703776037,0.0021575829703776037,26.74952429626809,0.9713264753104774,0.0001
48,0.002164529003202915,0.0022083284640328806,0.0022083284640328806,26.65008770326894,0.970942185562887,0.0001
49,0.0021639774693176152,0.002286654199283736,0.002286654199283736,26.497244214318666,0.9699392136494824,5e-05
50,0.002143800641037524,0.002136423479421598,0.002136423479421598,26.792938253893656,0.971413875461384,5e-05
51,0.002140088623855263,0.002145596851066799,0.002145596851066799,26.775044755381252,0.9713462553206523,5e-05
52,0.002139382502157241,0.0021493996413436476,0.0021493996413436476,26.7668292317246,0.9712088909118798,5e-05
53,0.0021380715186707674,0.0021356670423203212,0.0021356670423203212,26.794389574514888,0.9714660724257208,5e-05
54,0.0021378768409602345,0.002136314013427135,0.002136314013427135,26.79186461506146,0.9714218028791392,5e-05
55,0.0021355558866634964,0.0021345300383415,0.0021345300383415,26.7964522341883,0.9714477635492944,5e-05
56,0.002134185628592968,0.002148646369701026,0.002148646369701026,26.76764115983008,0.9713243952222691,5e-05
57,0.0021325124151073396,0.0021507238678539257,0.0021507238678539257,26.763910914894463,0.9711303179431113,5e-05
58,0.0021323242211714385,0.0021344576087323533,0.0021344576087323533,26.7962509756645,0.9713735136256856,5e-05
59,0.0021302721006795765,0.0021428841204756193,0.0021428841204756193,26.77960020360801,0.9713295242588991,5e-05
60,0.0021322317376732828,0.0021710700709906636,0.0021710700709906636,26.723929729440812,0.9711137953077912,2.5e-05
61,0.002118786781467497,0.0021338904681348593,0.0021338904681348593,26.797814440359165,0.9714561006066146,2.5e-05
62,0.002118470884673297,0.00213342991725773,0.00213342991725773,26.798108686685737,0.9713958182911964,2.5e-05
63,0.0021154111713171005,0.0021310624022149497,0.0021310624022149497,26.803646208140727,0.9713038862890498,2.5e-05
64,0.0021164671755861493,0.002130059924296987,0.002130059924296987,26.805584545482613,0.9713983938192866,2.5e-05
65,0.002115675719920546,0.002127667230547993,0.002127667230547993,26.809725641525286,0.9714294258196643,2.5e-05
66,0.002114310592506081,0.0021268171013576116,0.0021268171013576116,26.811118748261197,0.971473549581637,2.5e-05
67,0.00211418621763587,0.0021223120345395937,0.0021223120345395937,26.821297960785387,0.9714678579075321,2.5e-05
68,0.002113335416186601,0.002129394116153003,0.002129394116153003,26.806385142494438,0.9713542628440128,2.5e-05
69,0.002113072892744094,0.0021232687460353513,0.0021232687460353513,26.818946189291573,0.9714677341424736,2.5e-05
70,0.0021118369643576443,0.002129105117711814,0.002129105117711814,26.807969772433893,0.9713653884116252,2.5e-05
71,0.0021116523457691072,0.002128697537289114,0.002128697537289114,26.808260514399855,0.9714061545718248,2.5e-05
72,0.002110134879220277,0.0021271634940354593,0.0021271634940354593,26.811389506090343,0.971476084107806,1.25e-05
73,0.0021040260275825857,0.0021217328801774863,0.0021217328801774863,26.82215683009938,0.971459742943952,1.25e-05
74,0.002103373755980283,0.0021273119443327567,0.0021273119443327567,26.81093072311697,0.9713799376396617,1.25e-05
75,0.0021041681011207403,0.0021252389708059324,0.0021252389708059324,26.814833538023272,0.971417320761711,1.25e-05
76,0.0021020790668204426,0.002122623911186768,0.002122623911186768,26.820073860372354,0.9714792647938819,1.25e-05
77,0.0021025513808242977,0.0021200353742405107,0.0021200353742405107,26.82579905442707,0.9714574020379668,1.25e-05
78,0.0021013031165115536,0.0021251815995557387,0.0021251815995557387,26.815780148265787,0.9713789953547678,1.25e-05
79,0.0021010477090254425,0.0021276651350722003,0.0021276651350722003,26.810640796881717,0.9714067639059322,1.25e-05
80,0.002101652655284852,0.0021219395715031462,0.0021219395715031462,26.821908497426506,0.9714551499694776,1.25e-05
81,0.0021008436538279057,0.0021224058415610226,0.0021224058415610226,26.82123479242827,0.9714829917925938,1.25e-05
82,0.002100755687709898,0.0021299343492396793,0.0021299343492396793,26.80513139465009,0.9714240644388138,6.25e-06
83,0.0020971447663381696,0.0021212872030260932,0.0021212872030260932,26.823036495371618,0.9714216479829921,6.25e-06
84,0.0020967712826561184,0.0021206587137784926,0.0021206587137784926,26.824629031675624,0.9714454693399417,6.25e-06
85,0.002097112682275474,0.0021209764779266563,0.0021209764779266563,26.82396219180938,0.9714562194362567,6.25e-06
86,0.0020961121269501746,0.00212006149057204,0.00212006149057204,26.825268299411288,0.9714697196984746,6.25e-06
87,0.0020962686053477226,0.0021235992802769704,0.0021235992802769704,26.818750710371663,0.9714460069206869,3.125e-06
88,0.002094254415668547,0.002121032995711656,0.002121032995711656,26.823864717840802,0.9714442206795808,3.125e-06
89,0.0020932590101845564,0.0021202584771605527,0.0021202584771605527,26.82508312431296,0.9714763320175706,3.125e-06
