epoch,train_loss,valid_loss,valid_mse,valid_psnr,valid_gfc,lr
1,0.010545847564935684,0.004446253174571854,0.004446253174571854,23.537170895614675,0.9765343954608698,0.0001
2,0.003954378404840827,0.0026845977445886394,0.0026845977445886394,25.745979423835898,0.9778277285539421,0.0001
3,0.00338797856811434,0.0023978699975985155,0.0023978699975985155,26.237914322135985,0.9782076994324945,0.0001
4,0.0030963392939418553,0.0022364391056986844,0.0022364391056986844,26.54031858512387,0.9793047825242304,0.0001
5,0.002922981864027679,0.0019480892001787664,0.0019480892001787664,27.15719990992159,0.9795241515347912,0.0001
6,0.002788355189934373,0.0020057820918180855,0.0020057820918180855,27.02088388925244,0.9797874244914693,0.0001
7,0.0026977717720903455,0.0017334197360168028,0.0017334197360168028,27.66899141160774,0.9806773499318748,0.0001
8,0.002621693522296846,0.0017631064268469716,0.0017631064268469716,27.58828190398204,0.9808267252460406,0.0001
9,0.0025670939741656183,0.0018315241393295064,0.0018315241393295064,27.421408659815533,0.980916901758522,0.0001
10,0.0025160705860704183,0.0014883442429653635,0.0014883442429653635,28.35085048841095,0.9811590659390589,0.0001
11,0.0024638363290578127,0.0014551803921972206,0.0014551803921972206,28.448226336658447,0.9812843731254529,0.0001
12,0.0024378330403007566,0.0014706094175351747,0.0014706094175351747,28.397741558159506,0.9813886337978824,0.0001
13,0.0023987879235297443,0.001402595900533021,0.001402595900533021,28.617183041212833,0.9815847201711813,0.0001
14,0.002355572601594031,0.0013646914736385558,0.0013646914736385558,28.734581908833114,0.9816719711206521,0.0001
15,0.0023111546490341426,0.001497782775346237,0.001497782775346237,28.318252784824907,0.9816090267175323,0.0001
16,0.0022809882222674786,0.001402135576183795,0.001402135576183795,28.60950857585371,0.9818295475783622,0.0001
17,0.002266406881995499,0.0013843549146305082,0.0013843549146305082,28.67110797601734,0.9820145706462252,0.0001
18,0.002242244511283934,0.0013259373976742244,0.0013259373976742244,28.857167674027956,0.9820253606055193,0.0001
19,0.0022131698784418406,0.0012905634932255574,0.0012905634932255574,28.97598049020362,0.9818883280085909,0.0001
20,0.002195757387485355,0.0013918714545174816,0.0013918714545174816,28.63503762739969,0.982269612467213,0.0001
21,0.0021757885151542722,0.0014120985417935261,0.0014120985417935261,28.570946219924352,0.9822817167658715,0.0001
