epoch,train_loss,valid_loss,valid_mse,valid_psnr,valid_gfc,lr
1,0.006009928672667593,0.0018364410286852318,0.0018360116096379556,27.43423254654981,0.974282923777392,0.0001
2,0.0018483615731820465,0.001389574646211235,0.001389378252451065,28.656283267396333,0.9789040669514115,0.0001
3,0.0015544044784270227,0.001347480451904688,0.001347339811814937,28.783453209331054,0.9799911167211593,0.0001
4,0.0014159396228380502,0.0012173860858099618,0.0012172770435821005,29.237559456234273,0.9817647140496856,0.0001
5,0.001333902146620676,0.0011839090444586554,0.0011838146553606174,29.358381661527236,0.9821519096186206,0.0001
6,0.0012667232260573655,0.001234196781204527,0.001234115830290422,29.1700420177656,0.981640840791593,0.0001
7,0.001218141619116068,0.0011839857836592063,0.0011838902585849071,29.360422748348252,0.9823667801869144,0.0001
8,0.0011881634091027082,0.0011291275302149878,0.0011290621859982467,29.5725086964459,0.982528349016882,0.0001
9,0.0011495578820351511,0.0011005001795140043,0.0011004346250823348,29.68773565050945,0.9829226868927099,0.0001
10,0.0011246021267492324,0.001106702943575705,0.0011066402168499578,29.660829172148752,0.9826512712581902,0.0001
11,0.0011001700162421911,0.0011214028119263804,0.001121340526392458,29.599137480986943,0.9830945585943331,0.0001
12,0.0010730943131027743,0.0011081677008046513,0.001108108731253654,29.649788142177798,0.9830939762151925,0.0001
13,0.0010520837685093283,0.0011014044794601025,0.0011013487144818257,29.6850966937596,0.9829555624609541,0.0001
14,0.0010300254143076018,0.001114714885527968,0.0011146536099155,29.627916969283568,0.982227159533531,5e-05
15,0.0009472064860165119,0.001056533250668543,0.0010564834831184619,29.875149932570316,0.9829883522288815,5e-05
16,0.0009214565427275375,0.0010692087105166903,0.0010691578047658512,29.827168682805706,0.9826677889580939,5e-05
17,0.0009031453490722924,0.0010591293084524145,0.0010590815021668317,29.86378464450059,0.9827478045870544,5e-05
18,0.0008839688806096092,0.0010944759531783023,0.0010944284757474663,29.729178343577825,0.9821144930875985,5e-05
19,0.0008659026248380542,0.0010777072171653935,0.001077659320602324,29.798626660916817,0.9825972629960176,5e-05
20,0.0008438664076849818,0.0011046759663357335,0.001104626476847727,29.68680082226621,0.9825422175370964,2.5e-05
21,0.0007841732843313366,0.001100439279841461,0.0011003924945998155,29.709370923677927,0.9821728494516604,2.5e-05
22,0.0007688782774144784,0.0010978632499419366,0.0010978151066451196,29.726938595544517,0.9820961375145396,2.5e-05
23,0.0007560104197822512,0.0011082183646414856,0.0011081727689493945,29.6918659193956,0.9818747427053512,2.5e-05
24,0.0007428932891227305,0.0010921429319212296,0.0010920976932608422,29.74698377980546,0.9822631979444224,2.5e-05
25,0.0007321001340867951,0.001092639832926475,0.0010925950530685105,29.739604338613105,0.9820100433507543,1.25e-05
26,0.0006973487147595733,0.0011302558907269127,0.0011302108255772595,29.601676390543357,0.9816339517095286,1.25e-05
27,0.0006874559993157163,0.0011357974315174873,0.001135752500393754,29.5807622672507,0.9815196884665519,1.25e-05
