noise_std,method,samples,mse_mean,mse_std,mse_ci_low,mse_ci_high,psnr_mean,psnr_std,psnr_ci_low,psnr_ci_high,gfc_mean,gfc_std,gfc_ci_low,gfc_ci_high
0.01,No Denoise,200,0.0013575474746085091,0.004417276412593397,0.0007453554472662279,0.0019697395019507903,35.671632418214756,7.75054908590104,34.59748085631874,36.74578398011077,0.9968209654092789,0.014439466889589662,0.9948197941708936,0.9988221366476642
0.01,Wavelet,200,0.0006835725818882566,0.0031689010605079064,0.00024439337201389097,0.0011227517917626222,39.443225657077576,7.812977509726347,38.3604221160488,40.52602919810635,0.9982139751315117,0.011663011150866886,0.9965975939557697,0.9998303563072536
0.01,S-G Filter,200,0.0006097953199309813,0.002439585853179492,0.0002716921835558984,0.0009478984563060643,39.55981874122781,7.760532868734097,38.48428352305081,40.6353539594048,0.9984343931078911,0.009327543105499015,0.9971416853417213,0.9997271008740608
0.01,Wiener,200,0.00045841109591947314,0.001711132364069546,0.0002212646071862243,0.0006955575846527219,39.384505781811015,6.580720476398027,38.47248121428939,40.29653034933264,0.9987837484478951,0.007043257720986356,0.9978076206667555,0.9997598762290346
0.01,DnResUnet,200,0.00017991831341532816,0.00043862136345316577,0.00011912961091020693,0.0002407070159204494,41.766049495809,5.378287637802582,41.02067055524068,42.51142843637732,0.9996526011824608,0.0009494618198784995,0.9995210149057364,0.9997841874591852
0.01,BasicCNN,200,0.0004983826862007845,0.001488973111286527,0.0002920253332722009,0.0007047400391293681,38.52960862583675,6.421440415252317,37.63965874290358,39.419558508769924,0.9986926999688148,0.006613844521999266,0.9977760847271455,0.9996093152104841
0.01,DnCNN,200,0.00031528508042811155,0.0008745616023362757,0.0001940792534973889,0.0004364909073588342,41.08986436219801,6.842192923864196,40.14160222818584,42.038126496210175,0.9992007756233215,0.003459551880078887,0.9987213150052078,0.9996802362414353
0.01,UNet1D,200,0.0003621261976695678,0.0006358770175408359,0.00027399975862697664,0.0004502526367121589,36.630883005657225,3.8474229168905194,36.097667192216306,37.16409881909814,0.9994732359051705,0.001372532440974156,0.9992830161092714,0.9996634557010695
0.01,TCN,200,0.00018464650476289533,0.0004899671781661079,0.00011674176616027247,0.0002525512433655182,43.07663856155288,6.5196582691089935,42.17307662869177,43.980200494414,0.9996197655797004,0.0011501593092779427,0.9994603645611665,0.9997791665982344
0.05,No Denoise,200,0.00933563043581671,0.012466682483983861,0.007607868142666073,0.011063392728967347,23.967220383283586,5.957837990906143,23.141521337638324,24.792919428928847,0.9664571292698383,0.07092748792678417,0.9566272615929137,0.9762869969467629
0.05,Wavelet,200,0.004330219914463669,0.008053315094510736,0.0032141078956461275,0.00544633193328121,28.75670604995816,6.850206972581349,27.80733324586943,29.706078854046893,0.9814554208517074,0.05674310579744683,0.9735913721186915,0.9893194695847234
0.05,S-G Filter,200,0.004011427289224229,0.006392829929415208,0.0031254425444648677,0.0048974120339835905,28.27939168956178,6.380417533710001,27.395127183470137,29.163656195653424,0.982994540631771,0.04737502715116266,0.9764288175010244,0.9895602637625177
