noise_std,sample_index,method,mse,psnr,gfc
0.01,0,No Denoise,0.051439180970191956,12.887059549935916,0.8137275576591492
0.01,0,Wavelet,0.04302356764674187,13.662935794192512,0.8373448252677917
0.01,0,S-G Filter,0.03190046176314354,14.962030304307891,0.8717752695083618
0.01,0,Wiener,0.02241024374961853,16.49553419746126,0.9028544425964355
0.01,0,DnResUnet,0.0011786187533289194,29.28626653006293,0.9956881403923035
0.01,0,BasicCNN,0.018010050058364868,17.444850800710043,0.910615086555481
0.01,0,DnCNN,0.008844124153256416,20.533451694520174,0.956119954586029
0.01,0,UNet1D,0.0028234440833330154,25.49220808791414,0.9879786372184753
0.01,0,TCN,0.0020022070966660976,26.984910036360894,0.9903987050056458
0.01,1,No Denoise,0.0001354052365059033,38.68364539922344,0.99967360496521
0.01,1,Wavelet,6.282558024395257e-05,42.0186349166363,0.9998519420623779
0.01,1,S-G Filter,5.1687467930605635e-05,42.866147425605064,0.9998788237571716
0.01,1,Wiener,6.016535189701244e-05,42.206535388399466,0.9998651146888733
0.01,1,DnResUnet,5.0910784921143204e-05,42.93190207140753,0.9999194145202637
0.01,1,BasicCNN,5.9673318901332095e-05,42.2421980696149,0.9998664855957031
0.01,1,DnCNN,5.865460843779147e-05,42.31697860096173,0.9998669028282166
0.01,1,UNet1D,7.480712520191446e-05,41.260570346422185,0.999818742275238
0.01,1,TCN,2.3654753022128716e-05,46.26081582034634,0.9999467134475708
0.01,2,No Denoise,0.0028895107097923756,25.391756915090326,0.9901314377784729
0.01,2,Wavelet,0.002693386282771826,25.69701356040527,0.9908009767532349
0.01,2,S-G Filter,0.0021456582471728325,26.68439449744905,0.9927237629890442
0.01,2,Wiener,0.0018112504621967673,27.420214906970397,0.9932157397270203
0.01,2,DnResUnet,0.0006898462888784707,31.61247667709974,0.9975652694702148
0.01,2,BasicCNN,0.002485794946551323,26.045346992077185,0.9905498027801514
0.01,2,DnCNN,0.003214924829080701,24.92829177233418,0.9880080223083496
0.01,2,UNet1D,0.001082512317225337,29.65567153383315,0.997025728225708
0.01,2,TCN,0.0012404262088239193,29.064290661791837,0.9961523413658142
0.01,3,No Denoise,3.0634342692792416e-05,45.13791433691932,0.9999649524688721
0.01,3,Wavelet,2.0148925614194013e-05,46.95748106459191,0.9999771118164062
0.01,3,S-G Filter,1.865219746832736e-05,47.29269995375439,0.9999786019325256
0.01,3,Wiener,4.0423605241812766e-05,43.93364955867676,0.9999594688415527
0.01,3,DnResUnet,5.858171061845496e-05,42.32237950829415,0.9999523162841797
0.01,3,BasicCNN,3.470102456049062e-05,44.596577023157955,0.9999653100967407
0.01,3,DnCNN,2.904590110119898e-05,45.36915145708396,0.9999701380729675
0.01,3,UNet1D,0.0001748705981299281,37.57283204491212,0.9998201727867126
0.01,3,TCN,3.359938637004234e-05,44.736686541142646,0.9999638795852661
0.01,4,No Denoise,0.00023800728376954794,36.23409751966521,0.9988306760787964
0.01,4,Wavelet,7.114823529263958e-05,41.47835867360067,0.9996500015258789
0.01,4,S-G Filter,7.054032175801694e-05,41.51562563701524,0.9996529221534729
0.01,4,Wiener,0.00012064607290085405,39.184868100605954,0.999437153339386
0.01,4,DnResUnet,6.0916638176422566e-05,42.152640722059125,0.9997225403785706
0.01,4,BasicCNN,0.00010416191071271896,39.82291062143977,0.9995182156562805
0.01,4,DnCNN,4.194045322947204e-05,43.773668806423686,0.9997939467430115
0.01,4,UNet1D,5.423644324764609e-05,42.657087986500024,0.999790370464325
0.01,4,TCN,5.081314156996086e-05,42.940239535974584,0.9997537136077881
0.01,5,No Denoise,0.00017566097085364163,37.553247212923374,0.9997095465660095
0.01,5,Wavelet,5.292877176543698e-05,42.76308183879169,0.999912679195404
0.01,5,S-G Filter,4.782986070495099e-05,43.20300883923337,0.9999209642410278
0.01,5,Wiener,0.00010850770922843367,39.6453940507417,0.9998279213905334
0.01,5,DnResUnet,4.6019275032449514e-05,43.370602272989856,0.9999421238899231
0.01,5,BasicCNN,9.415916429134086e-05,40.26137404723562,0.9998490214347839
0.01,5,DnCNN,0.00010192414629273117,39.91722917471182,0.9998354315757751
0.01,5,UNet1D,0.0005551032954826951,32.55626194383684,0.9997537136077881
0.01,5,TCN,3.701661262311973e-05,44.3160332589635,0.9999391436576843
0.01,6,No Denoise,9.000732097774744e-05,40.457221646614585,0.9998554587364197
0.01,6,Wavelet,7.672776700928807e-05,41.15047440788656,0.9998772144317627
0.01,6,S-G Filter,5.7053755881497636e-05,42.437157604496605,0.9999092817306519
0.01,6,Wiener,5.9160713135497645e-05,42.27966599567897,0.9999092817306519
0.01,6,DnResUnet,1.82956391654443e-05,47.3765241366157,0.9999767541885376
0.01,6,BasicCNN,5.6689645134611055e-05,42.464962615936585,0.99991375207901
0.01,6,DnCNN,2.4879265765775926e-05,46.041624406442885,0.999966025352478
